id,vendor_id,pickup_datetime,passenger_count,trip_duration
id2355952,2,2016-04-01 10:37:41,1,848
id0797603,2,2016-06-04 17:46:48,1,337
id0419286,1,2016-02-17 17:47:37,1,2060
id1716965,2,2016-03-19 00:50:07,1,1404
id2692435,1,2016-03-31 18:59:05,1,270
id1214065,2,2016-06-12 16:32:08,2,306
id3475936,2,2016-01-03 17:30:18,6,2877
id3122086,1,2016-01-07 21:00:43,1,390
id1462222,2,2016-05-21 08:56:09,1,1305
id1678215,2,2016-05-01 20:26:21,1,801
id2290358,2,2016-03-29 17:39:12,1,709
id1195500,1,2016-03-16 06:43:13,1,376
id1274234,1,2016-02-17 19:02:27,1,297
id0351735,1,2016-05-20 23:35:07,1,100
id1514035,2,2016-06-21 23:46:01,2,214
id0565369,2,2016-04-20 14:43:25,1,2102
id0124017,1,2016-02-20 20:48:48,1,1724
id0476499,2,2016-04-22 15:41:10,1,332
id1955328,2,2016-03-05 16:04:52,1,1724
id1224383,1,2016-06-04 09:36:25,1,900
id2959900,1,2016-04-21 18:38:24,1,1214
id3073317,2,2016-04-23 12:43:21,1,626
id2884543,2,2016-06-25 23:17:11,1,729
id0785678,2,2016-02-10 17:56:28,1,485
id3186974,2,2016-03-17 18:25:07,1,806
id0913693,2,2016-05-24 09:18:15,1,587
id3549666,1,2016-03-22 03:31:21,1,1307
id1064630,2,2016-06-16 20:23:49,1,445
id0360600,1,2016-06-04 02:47:45,1,277
id0763621,2,2016-01-17 01:46:40,2,724
id0026937,2,2016-04-04 17:01:42,1,206
id0941827,2,2016-03-15 04:23:11,1,1279
id1014196,1,2016-05-10 11:33:46,1,645
id2031888,2,2016-05-09 13:05:55,1,185
id0358993,1,2016-03-19 11:48:51,1,499
id0878229,1,2016-04-26 19:58:50,1,573
id0359896,1,2016-02-22 10:17:52,1,1279
id1171295,1,2016-05-06 06:17:15,2,738
id3161107,1,2016-04-17 13:20:49,2,651
id1195927,2,2016-03-29 20:48:49,2,643
id3026385,2,2016-01-06 15:01:17,1,392
id0662787,1,2016-05-23 16:09:25,1,525
id0779967,2,2016-02-10 20:11:13,3,2343
id1033049,2,2016-01-19 04:08:59,6,475
id0036714,2,2016-02-03 22:34:12,1,465
id1502246,2,2016-05-02 22:58:33,1,1324
id2009029,2,2016-04-19 21:47:48,1,812
id0012358,1,2016-03-31 07:46:24,1,336
id0301809,1,2016-02-18 19:06:57,1,523
id3647768,1,2016-04-14 11:14:12,1,1065
id0338362,1,2016-06-04 01:14:44,2,2245
id1174149,2,2016-01-01 16:12:39,1,1016
id1806563,1,2016-05-13 11:04:54,1,348
id1914265,1,2016-05-16 21:02:12,1,101
id0714987,2,2016-04-26 16:05:07,1,1109
id0825497,2,2016-03-17 08:46:13,1,969
id0610408,1,2016-02-21 17:21:18,1,924
id1258503,2,2016-03-03 08:57:38,1,809
id3072142,2,2016-06-01 14:48:42,2,326
id0615450,1,2016-03-12 10:23:23,2,1106
id2160654,1,2016-02-02 07:21:29,1,492
id1716360,1,2016-04-21 11:30:11,1,1066
id2870984,1,2016-03-30 09:37:18,1,782
id1672585,1,2016-06-14 16:32:18,1,363
id0793722,1,2016-06-26 22:58:19,1,1229
id1787454,2,2016-02-05 13:20:12,1,1227
id2530399,1,2016-06-22 00:51:47,1,462
id1777493,2,2016-06-22 21:11:56,1,1176
id1510955,1,2016-06-26 08:43:39,1,597
id2249344,2,2016-02-15 22:55:39,1,1050
id3939131,1,2016-06-09 08:11:06,1,747
id0546589,1,2016-02-25 20:34:04,1,438
id3071413,1,2016-01-04 09:10:12,1,572
id3840015,1,2016-02-05 21:03:24,1,868
id2985251,2,2016-04-28 19:21:05,1,298
id3265762,2,2016-02-07 12:22:13,1,883
id0989786,1,2016-01-25 19:04:40,1,357
id1242920,1,2016-05-18 10:53:29,1,662
id3676380,2,2016-01-14 08:19:09,1,247
id3538206,2,2016-01-08 10:24:14,1,710
id0621488,2,2016-06-18 15:57:41,5,1255
id1498341,1,2016-02-21 03:33:00,1,333
id1352587,1,2016-02-24 11:18:58,1,1096
id0139119,2,2016-06-24 15:55:48,1,841
id3449772,2,2016-04-21 21:30:31,1,603
id3980124,1,2016-06-04 12:50:59,4,654
id2657950,1,2016-03-07 02:22:54,1,1257
id2979947,2,2016-03-31 11:10:09,1,890
id1372402,1,2016-06-05 15:03:48,1,663
id3381738,1,2016-03-18 13:14:34,1,993
id3814954,2,2016-04-03 10:46:01,1,1519
id0551918,2,2016-04-10 15:31:14,1,499
id3762524,2,2016-04-25 13:54:37,2,307
id1927110,2,2016-05-29 16:49:08,2,1327
id3525477,2,2016-06-07 08:37:07,1,2286
id1762782,1,2016-04-14 21:30:49,1,2311
id2652090,2,2016-06-04 10:13:20,2,294
id3450578,1,2016-03-18 14:12:02,1,2285
id1910730,1,2016-06-25 17:33:24,2,808
id1186814,2,2016-01-09 23:32:59,5,952
id0450317,1,2016-02-24 12:25:35,1,2667
id3152252,1,2016-03-20 13:26:24,1,453
id1930613,1,2016-04-18 20:08:35,1,468
id2083326,2,2016-06-07 22:39:55,1,738
id0123041,1,2016-03-13 11:02:07,1,645
id2658430,2,2016-01-25 16:25:10,1,729
id0624547,2,2016-06-06 19:14:05,1,1230
id0149902,1,2016-03-12 18:28:14,1,420
id1336146,1,2016-06-11 19:09:57,1,1450
id2891242,1,2016-03-02 13:14:15,1,273
id1060224,1,2016-01-24 16:31:31,4,394
id1020345,1,2016-03-02 15:49:19,1,174
id2505705,2,2016-02-10 09:03:24,1,5584
id0441079,2,2016-05-21 08:21:03,1,982
id2680993,1,2016-03-30 21:27:44,1,423
id1836964,1,2016-02-12 01:09:07,1,655
id0295897,1,2016-03-21 06:57:02,1,877
id3256987,2,2016-03-04 13:40:24,5,1345
id2229638,1,2016-05-10 19:57:11,1,1030
id3601594,2,2016-03-05 19:16:39,6,285
id1562362,2,2016-05-02 08:39:22,6,278
id0377976,2,2016-04-12 18:21:53,5,494
id3698126,2,2016-05-09 08:32:38,1,1688
id1996168,2,2016-06-10 00:50:48,2,849
id0866732,2,2016-06-14 08:12:31,1,864
id3512072,2,2016-03-28 13:49:51,1,271
id3848488,2,2016-06-23 16:58:12,1,723
id0320360,1,2016-03-04 08:14:18,1,664
id0749270,1,2016-06-09 07:30:30,1,230
id0554040,2,2016-03-03 21:23:21,1,387
id0667553,2,2016-02-04 23:06:15,6,1085
id2638874,1,2016-03-30 14:18:37,1,610
id0052140,2,2016-01-08 15:59:56,1,588
id0399263,2,2016-06-30 22:55:44,4,2949
id1395733,1,2016-04-14 20:05:52,1,791
id1794291,2,2016-05-21 13:54:07,1,629
id0481978,1,2016-06-10 21:17:16,1,282
id3434321,2,2016-04-01 22:12:01,5,739
id2094857,2,2016-04-24 18:01:24,1,322
id3721341,1,2016-01-28 09:20:34,1,812
id1349305,1,2016-03-02 16:35:47,1,1021
id1372978,2,2016-01-27 07:53:44,1,299
id1469058,2,2016-03-03 16:14:15,5,275
id0399599,2,2016-03-04 22:57:33,1,296
id2433775,2,2016-06-03 22:28:50,3,541
id3751894,1,2016-03-05 19:37:10,2,1322
id1797027,1,2016-06-22 20:09:43,1,1817
id2418934,1,2016-04-08 20:39:15,1,467
id3768533,2,2016-05-14 16:36:41,1,255
id3031062,2,2016-01-01 20:51:00,1,653
id3041788,2,2016-04-15 19:07:09,2,3075
id3165412,1,2016-05-19 00:02:30,2,722
id1562742,2,2016-01-06 17:10:43,3,515
id2072676,1,2016-05-25 20:05:02,1,580
id2248476,1,2016-01-17 05:12:17,1,194
id2445906,2,2016-01-14 13:27:02,1,1172
id3716295,2,2016-02-27 00:01:29,1,832
id0854887,2,2016-05-19 19:51:04,5,1636
id0981633,2,2016-01-19 22:23:56,3,832
id3736020,1,2016-01-13 21:37:38,1,217
id2659021,1,2016-04-17 17:57:33,1,883
id1671421,2,2016-04-20 18:54:01,1,2269
id0838512,1,2016-03-30 14:52:58,1,1081
id2260494,1,2016-03-11 14:40:23,2,874
id1993752,2,2016-02-23 21:15:25,1,733
id0295174,1,2016-02-27 09:14:38,2,433
id1073868,2,2016-05-04 18:42:51,3,424
id3005669,2,2016-02-23 08:17:06,1,1591
id0366679,2,2016-04-24 08:39:39,1,172
id0739992,2,2016-04-08 17:05:44,1,1402
id1613996,2,2016-06-23 11:57:33,1,1113
id0907317,2,2016-05-07 11:53:26,1,341
id3864839,1,2016-06-01 17:40:01,1,847
id3707261,2,2016-04-19 12:51:47,2,1109
id3153795,2,2016-02-18 23:28:06,1,2750
id3339752,1,2016-04-19 17:43:49,1,709
id3183370,2,2016-02-29 11:10:11,4,1261
id2287407,1,2016-03-11 04:01:47,3,2004
id2764475,2,2016-01-24 11:37:56,2,500
id0608045,1,2016-06-15 11:49:38,4,1222
id2144149,2,2016-01-08 23:48:29,3,553
id0388951,2,2016-05-12 19:45:23,2,1044
id0774125,2,2016-04-14 01:30:13,2,2229
id2215648,1,2016-04-20 22:13:12,1,1200
id3016645,1,2016-04-28 09:46:02,1,381
id2267119,1,2016-06-12 00:46:19,1,868
id3615436,1,2016-04-28 19:30:24,1,350
id0582492,2,2016-05-08 10:26:18,1,206
id1733273,2,2016-03-16 09:54:09,1,325
id2317309,2,2016-01-16 18:13:05,1,660
id3189786,2,2016-03-17 14:22:15,1,1384
id2646382,2,2016-01-21 22:36:43,1,914
id0169394,2,2016-01-22 18:42:57,1,101
id0451900,2,2016-03-10 23:42:26,1,824
id1966128,1,2016-06-10 23:33:04,2,1569
id1438472,2,2016-06-13 12:55:54,1,1555
id1453622,2,2016-05-10 17:09:19,3,637
id3432460,2,2016-01-05 22:59:10,1,232
id2515232,1,2016-02-20 09:13:56,1,973
id0325128,1,2016-01-28 20:20:37,1,726
id0144263,1,2016-04-27 18:12:28,1,1436
id0398489,1,2016-05-08 10:12:31,2,266
id0941189,1,2016-01-29 14:07:06,1,857
id1351691,1,2016-05-28 11:36:40,1,322
id2513748,2,2016-02-14 13:05:48,1,203
id2578997,2,2016-05-30 20:52:18,1,577
id3758107,2,2016-03-04 10:52:01,2,812
id0678138,2,2016-01-11 14:37:44,1,1371
id0200534,2,2016-06-19 14:54:38,2,538
id2989163,2,2016-04-13 12:46:46,6,615
id0503482,2,2016-02-01 14:54:50,1,1427
id1004765,2,2016-02-10 08:11:42,1,2072
id0292552,1,2016-05-27 09:45:46,1,469
id1478207,2,2016-04-14 09:20:29,1,308
id1733623,1,2016-04-20 22:06:15,1,885
id0750671,2,2016-01-16 22:50:54,5,658
id1076447,2,2016-01-17 12:34:27,2,479
id2109063,1,2016-03-06 19:42:27,1,316
id0109173,1,2016-02-11 20:35:39,1,923
id3460088,2,2016-04-06 14:46:43,1,967
id2384654,1,2016-05-11 15:05:51,1,1128
id1029290,2,2016-04-07 17:58:30,1,210
id0958848,2,2016-02-02 18:17:22,3,423
id2985049,1,2016-05-04 10:44:42,1,3540
id3598079,2,2016-05-24 06:28:33,1,422
id1453532,1,2016-04-03 00:18:43,2,447
id2825338,1,2016-02-18 10:38:50,1,972
id0319234,2,2016-06-07 16:13:23,1,2050
id2405289,2,2016-06-18 23:25:29,1,527
id0165357,2,2016-04-17 23:46:10,1,572
id0325810,2,2016-03-02 19:43:38,1,928
id1876315,1,2016-01-13 19:00:00,1,316
id2781897,2,2016-04-11 01:06:47,6,1420
id1169597,1,2016-01-30 21:41:09,1,646
id1035639,1,2016-06-14 07:22:55,1,737
id2579273,1,2016-05-06 11:44:17,1,1569
id2683320,1,2016-02-22 17:30:44,1,744
id2341120,1,2016-04-17 04:20:23,1,112
id1656180,2,2016-03-11 05:38:14,5,1653
id3116818,1,2016-04-12 16:47:27,1,442
id2096241,2,2016-04-16 09:49:52,3,531
id3961403,2,2016-04-09 14:11:28,5,270
id2392251,1,2016-02-23 12:05:46,1,2078
id2132956,1,2016-06-28 12:10:16,2,529
id1499721,2,2016-06-23 23:55:06,1,348
id2961735,2,2016-06-19 19:25:03,2,544
id3438934,2,2016-01-21 12:59:37,1,521
id3799883,2,2016-03-31 09:39:30,5,967
id1329642,1,2016-04-02 21:52:19,1,549
id0116529,1,2016-02-01 20:03:34,1,273
id3633470,1,2016-03-09 08:28:43,1,1081
id3385596,1,2016-02-12 09:28:19,2,329
id1862455,1,2016-05-03 06:37:14,1,249
id1954034,1,2016-03-10 04:08:10,1,16
id1240022,2,2016-02-19 17:12:55,1,175
id1809564,2,2016-04-28 08:23:42,6,152
id3652464,1,2016-04-11 17:46:03,1,1093
id2614577,2,2016-03-18 15:04:14,1,1006
id1415857,1,2016-02-09 14:47:47,1,647
id2619418,1,2016-01-29 19:22:45,1,1070
id3794176,1,2016-01-07 09:11:50,1,566
id0460328,1,2016-01-29 23:57:14,1,514
id0533059,2,2016-02-23 07:28:15,1,432
id1957226,1,2016-04-28 06:24:01,1,193
id0529651,2,2016-02-14 02:42:33,5,153
id3967755,2,2016-01-19 08:16:37,1,1721
id3754606,2,2016-04-07 12:39:55,6,291
id2244526,1,2016-06-09 10:46:55,1,2006
id3355218,2,2016-06-27 16:17:30,2,1485
id0178245,1,2016-01-01 00:13:21,1,512
id0534011,2,2016-03-15 09:25:01,1,400
id2457912,2,2016-01-28 14:15:41,1,260
id0708761,2,2016-01-26 23:07:58,1,1383
id3015440,1,2016-04-23 19:31:22,1,11
id1340572,2,2016-03-08 09:18:10,5,314
id1544913,2,2016-05-26 11:11:33,1,2376
id0758126,2,2016-04-09 21:27:51,6,615
id3651089,1,2016-02-18 10:21:09,1,532
id2897791,2,2016-03-04 19:21:18,4,253
id3403053,2,2016-05-22 02:44:45,1,115
id2429655,2,2016-02-10 21:46:59,6,1394
id2885693,1,2016-06-08 21:11:45,1,3109
id3200512,2,2016-02-24 12:01:57,1,2349
id1696688,1,2016-06-09 17:38:35,2,245
id3180148,1,2016-03-08 10:46:30,1,1602
id0476994,2,2016-02-16 01:36:37,1,174
id1007853,2,2016-04-28 01:45:31,6,326
id1767448,2,2016-01-19 10:38:35,1,574
id1709457,2,2016-03-04 14:02:57,1,392
id2637594,1,2016-04-29 19:40:33,2,2592
id0685546,1,2016-04-07 22:53:59,1,401
id3975300,2,2016-05-21 17:55:03,5,772
id2433560,2,2016-06-03 19:45:20,1,267
id3569006,1,2016-04-15 15:39:25,3,873
id2435431,1,2016-06-11 11:30:58,2,648
id3665850,2,2016-05-06 23:50:52,2,460
id1599388,1,2016-04-10 11:54:18,1,403
id1750528,2,2016-01-26 20:36:22,6,627
id2255689,2,2016-05-24 19:24:01,1,750
id3218177,1,2016-01-18 17:46:51,1,329
id0051353,1,2016-03-08 12:25:03,1,1127
id0915903,2,2016-06-24 17:07:29,3,4246
id1474782,1,2016-01-21 19:43:44,1,89
id1443608,2,2016-02-13 19:51:46,1,424
id0046398,1,2016-01-05 08:43:47,1,334
id2365703,1,2016-04-27 00:20:09,1,258
id3336086,2,2016-05-24 22:30:35,1,1103
id2619937,1,2016-05-24 18:11:23,1,244
id0811681,1,2016-05-04 12:20:15,1,1311
id0467233,2,2016-02-23 17:52:41,1,544
id1910355,1,2016-03-18 09:22:20,1,648
id1301295,1,2016-02-19 11:08:22,1,1669
id1102962,2,2016-03-15 23:57:58,1,438
id0603655,2,2016-04-15 19:04:24,1,805
id0428626,2,2016-06-25 12:21:50,4,1061
id0957373,2,2016-03-07 06:48:37,1,1828
id2134788,2,2016-06-02 21:35:26,2,1041
id2537758,1,2016-06-08 11:11:31,1,337
id1480516,2,2016-03-18 00:19:51,1,1581
id1142365,2,2016-04-02 02:24:21,1,588
id1901362,2,2016-03-21 09:19:17,1,863
id3233410,1,2016-02-04 17:43:59,1,621
id2173336,1,2016-01-13 17:00:46,1,655
id0939248,1,2016-04-23 13:05:09,2,2212
id2026392,1,2016-02-10 11:57:03,1,1459
id3534940,2,2016-06-02 18:48:07,1,190
id3762816,1,2016-01-01 00:21:19,1,390
id1781765,2,2016-03-15 18:02:08,2,1437
id3855413,2,2016-06-17 18:49:02,2,1014
id1030394,2,2016-04-04 09:21:01,1,1204
id3448819,1,2016-06-18 01:17:21,1,282
id1954449,2,2016-03-24 01:03:32,1,419
id0044475,1,2016-03-05 10:11:29,1,1519
id0757577,1,2016-02-28 14:21:41,1,209
id3482654,1,2016-05-25 05:37:32,1,735
id1776213,1,2016-06-19 10:12:48,1,293
id0053691,2,2016-01-07 14:05:33,2,598
id3170022,2,2016-05-12 10:54:32,1,1429
id1148701,1,2016-04-19 11:59:38,1,260
id2379636,2,2016-01-17 05:59:48,2,1023
id3568003,1,2016-04-13 08:47:44,1,597
id0088733,1,2016-06-22 07:34:58,1,490
id2828196,1,2016-02-19 20:03:37,1,1144
id2656208,2,2016-03-20 08:22:09,1,189
id0329206,2,2016-05-01 14:28:19,1,1890
id0214910,2,2016-04-03 11:54:04,1,397
id1905168,2,2016-04-13 13:20:16,1,1250
id3585693,2,2016-01-02 06:47:03,1,1507
id2037541,1,2016-02-06 23:37:22,1,1308
id2757505,1,2016-02-04 07:49:35,1,617
id2889763,2,2016-05-10 23:00:43,1,2148
id2444622,2,2016-02-05 07:15:30,4,404
id2245164,1,2016-03-16 12:45:07,1,872
id1289688,2,2016-03-06 15:20:04,5,607
id0574247,2,2016-04-15 08:46:51,2,439
id0825499,2,2016-05-01 01:15:01,1,447
id1396597,2,2016-03-09 21:47:06,3,763
id0743463,2,2016-06-28 07:26:16,3,530
id3628549,2,2016-04-07 14:43:22,3,290
id1822406,1,2016-05-16 12:45:06,1,1017
id2795979,2,2016-04-10 15:25:52,1,839
id0617505,1,2016-03-25 02:53:00,1,752
id0892771,2,2016-02-19 16:17:48,1,883
id3321798,2,2016-04-22 12:47:27,6,463
id3493985,1,2016-04-14 16:39:43,1,1294
id2977011,2,2016-01-31 04:00:57,1,1012
id0207937,1,2016-05-02 17:33:54,1,460
id2064989,2,2016-05-13 11:42:10,2,1200
id0622187,1,2016-01-15 22:39:52,3,103
id3409311,2,2016-03-08 11:05:19,1,749
id2091774,2,2016-06-29 19:22:49,1,373
id3630073,2,2016-05-25 21:37:55,1,1019
id2352957,2,2016-02-29 15:24:52,1,402
id2155441,1,2016-02-09 20:01:04,1,301
id2243977,2,2016-04-23 19:34:02,2,769
id1085819,2,2016-04-01 14:26:24,2,618
id0371389,1,2016-04-06 08:47:08,1,1288
id2490212,2,2016-01-30 15:58:27,3,104
id0367760,1,2016-03-05 01:13:26,2,1157
id1547547,2,2016-03-31 14:16:12,1,1404
id2510013,2,2016-01-19 15:40:16,1,1198
id1947353,2,2016-06-02 14:09:31,2,83
id1693143,2,2016-01-30 15:07:58,1,922
id3375462,2,2016-01-17 16:34:35,4,413
id2122622,1,2016-05-27 00:08:48,1,866
id3517310,1,2016-01-24 20:33:30,1,459
id1286662,2,2016-04-26 10:53:50,1,118
id2857815,1,2016-05-05 22:25:04,1,600
id2203129,2,2016-02-08 11:03:08,1,864
id2844097,1,2016-04-04 19:58:23,2,1292
id3726879,2,2016-04-02 14:32:55,5,1122
id2263212,2,2016-05-05 08:14:16,1,1355
id0662117,2,2016-02-16 19:58:20,1,249
id0901499,2,2016-03-25 11:34:39,1,465
id1569546,1,2016-05-28 16:01:47,1,522
id1043984,1,2016-02-16 11:13:59,1,1836
id3817143,1,2016-03-02 15:48:00,1,786
id3592554,1,2016-06-27 08:46:04,1,187
id1456933,2,2016-06-16 22:07:54,2,509
id3079463,2,2016-01-02 11:51:10,6,1233
id2745759,2,2016-06-13 11:04:03,2,932
id1144808,2,2016-05-06 14:22:28,6,547
id0063573,2,2016-03-09 18:14:09,5,870
id1802397,2,2016-04-16 20:41:48,1,566
id0696116,1,2016-05-20 08:55:56,1,407
id0022161,2,2016-05-15 14:43:33,3,753
id0025101,2,2016-03-02 15:02:09,1,1740
id3229860,1,2016-06-25 02:34:03,2,665
id1105197,2,2016-01-18 18:49:11,1,782
id1078446,2,2016-06-25 21:52:53,5,505
id2210268,1,2016-04-10 01:00:23,1,827
id0082307,2,2016-01-20 18:11:36,1,626
id0587162,2,2016-06-14 16:33:24,6,1273
id0525616,1,2016-02-05 09:30:13,1,1170
id2776359,1,2016-06-27 21:53:04,2,1394
id3049057,1,2016-05-18 22:52:09,1,1112
id0434411,1,2016-06-02 01:30:33,1,1165
id0902273,1,2016-04-16 18:53:11,1,1028
id3772239,2,2016-06-26 01:37:17,1,2102
id2565105,2,2016-05-28 15:26:28,6,276
id0388137,1,2016-01-25 11:56:35,1,2291
id0276911,2,2016-03-24 08:36:14,1,723
id2480052,1,2016-04-15 12:42:04,1,190
id2652128,2,2016-04-10 13:23:24,1,729
id1886511,2,2016-02-25 08:50:11,5,1550
id1303199,2,2016-06-14 19:38:37,1,624
id1148333,2,2016-01-31 07:47:15,1,757
id0101465,1,2016-04-10 15:33:11,1,220
id3969008,2,2016-03-02 12:32:49,6,381
id0881777,2,2016-05-26 23:45:47,1,966
id0958162,1,2016-03-25 23:16:46,1,504
id2395612,1,2016-04-03 19:33:41,4,565
id3992757,1,2016-05-23 20:24:34,2,1044
id0722575,2,2016-02-21 20:36:22,1,700
id0210065,1,2016-03-19 01:32:45,1,312
id1513818,1,2016-03-06 02:45:05,3,362
id2882356,2,2016-02-10 19:45:47,1,955
id2347033,1,2016-01-03 04:25:12,1,1142
id3867224,2,2016-01-18 01:57:40,2,96
id3380688,1,2016-02-12 10:10:37,1,1078
id3497037,1,2016-05-13 22:14:53,1,225
id2850474,2,2016-04-25 15:32:14,6,2406
id0453049,1,2016-02-12 13:28:33,1,748
id3789231,1,2016-03-14 10:10:24,1,683
id1699045,2,2016-02-04 03:59:23,1,496
id1771643,2,2016-01-17 22:08:02,1,329
id3303815,2,2016-04-01 00:43:35,1,167
id0869710,2,2016-03-21 06:14:00,1,345
id3009962,2,2016-03-11 05:17:44,1,1887
id0489897,1,2016-04-12 18:27:52,1,880
id0523912,2,2016-03-27 17:24:01,1,3046
id0944431,2,2016-03-25 10:09:10,1,636
id1701854,2,2016-03-15 14:15:49,1,1559
id3970289,2,2016-02-06 10:39:26,1,325
id2064204,2,2016-05-21 22:28:15,1,1612
id1283945,1,2016-03-25 09:40:43,1,312
id2496784,2,2016-04-03 17:43:15,1,596
id2966837,2,2016-01-01 21:46:04,2,568
id3202190,1,2016-06-15 06:35:44,1,280
id2495915,1,2016-05-01 09:52:23,2,430
id0308570,2,2016-02-18 09:19:59,6,467
id1552523,1,2016-03-25 00:22:39,4,433
id2303414,2,2016-01-05 22:04:39,1,1297
id0414726,1,2016-01-05 12:33:50,1,377
id2434731,1,2016-02-25 13:21:52,1,735
id0837968,2,2016-02-04 12:04:35,1,280
id2959258,2,2016-05-07 21:14:51,1,1571
id2295248,2,2016-03-15 18:32:11,1,638
id0936307,1,2016-03-17 15:18:08,1,867
id3984888,2,2016-02-28 14:34:28,2,279
id0413856,1,2016-05-20 23:21:01,1,903
id0070069,1,2016-01-22 01:15:29,1,478
id0254225,2,2016-04-24 14:17:35,1,394
id1393747,1,2016-06-08 02:47:37,1,400
id1608921,1,2016-02-07 12:12:04,1,312
id3591231,1,2016-05-12 10:10:28,1,1566
id1954967,2,2016-05-20 06:48:33,1,584
id2905320,2,2016-05-30 15:35:51,2,476
id1424596,2,2016-05-17 22:24:37,1,225
id2743819,2,2016-04-11 00:34:37,1,199
id1156977,1,2016-05-21 17:10:19,1,861
id0946803,1,2016-01-29 09:24:06,1,222
id1329631,2,2016-01-16 17:49:49,1,293
id3525042,1,2016-03-06 14:57:37,1,576
id0171955,2,2016-02-16 21:53:32,1,1138
id2267339,2,2016-02-11 19:45:30,1,1084
id3367784,1,2016-04-22 08:44:08,1,727
id3949705,1,2016-04-19 22:43:56,1,351
id2372850,2,2016-02-12 08:33:14,1,2138
