trip_id,route_type
id0590614,пригородный
id1341141,аэропорт
id2108361,пригородный
id2352628,городской
id2668778,междугородний
id1891268,междугородний
id1130549,междугородний
id3457457,аэропорт
id0388991,аэропорт
id0843168,пригородный
id2957673,междугородний
id3099706,пригородный
id1384458,аэропорт
id0051553,городской
id1593015,пригородный
id3453289,пригородный
id1754232,пригородный
id2663936,аэропорт
id3544534,пригородный
id3066364,междугородний
id3635403,аэропорт
id0537745,аэропорт
id0506239,пригородный
id2858182,пригородный
id0242354,пригородный
id1036740,междугородний
id3613065,междугородний
id0593758,пригородный
id3166192,аэропорт
id1578507,пригородный
id1374249,междугородний
id3912578,городской
id2123418,междугородний
id1688248,городской
id1941512,междугородний
id0683289,городской
id3050418,аэропорт
id3123378,междугородний
id0999839,аэропорт
id0050830,аэропорт
id3052396,пригородный
id1336137,аэропорт
id1037385,междугородний
id2203027,городской
id1876761,городской
id3350389,пригородный
id0091265,городской
id1358869,городской
id1220952,пригородный
id0070405,аэропорт
id1280992,пригородный
id2465038,городской
id0823787,аэропорт
id3667582,аэропорт
id3954041,пригородный
id3252381,городской
id0694811,пригородный
id2594855,аэропорт
id3339683,городской
id3132742,городской
id3024065,городской
id1305278,городской
id3460008,междугородний
id1884322,междугородний
id2324821,пригородный
id1086294,аэропорт
id2801203,городской
id3245126,аэропорт
id1044668,аэропорт
id3615436,пригородный
id2428409,пригородный
id3395281,городской
id1921206,аэропорт
id3643276,аэропорт
id0939864,городской
id0935786,междугородний
id2934380,городской
id1025076,пригородный
id0400622,аэропорт
id3892327,аэропорт
id2448241,пригородный
id2379228,междугородний
id2337318,аэропорт
id1394944,междугородний
id1344201,междугородний
id3506947,пригородный
id1358929,междугородний
id3198938,аэропорт
id2862674,междугородний
id1971962,междугородний
id2208923,городской
id1384598,пригородный
id0017125,пригородный
id0062162,междугородний
id2909717,городской
id2169223,пригородный
id1409253,городской
id0348895,пригородный
id2123172,междугородний
id2712285,пригородный
id3638938,городской
id1853655,аэропорт
id3297340,городской
id1687303,аэропорт
id3940437,городской
id2321766,пригородный
id2127138,городской
id1660080,городской
id1264252,пригородный
id3827563,аэропорт
id3574264,аэропорт
id3104312,междугородний
id2216081,городской
id3265206,аэропорт
id0850090,аэропорт
id1654321,междугородний
id3056537,пригородный
id3607634,пригородный
id3798751,пригородный
id1843736,пригородный
id1305690,пригородный
id2386751,аэропорт
id0932612,аэропорт
id0166191,городской
id1147219,аэропорт
id3892175,междугородний
id2990577,междугородний
id0561700,междугородний
id2419602,междугородний
id1212684,междугородний
id1629009,пригородный
id0266250,междугородний
id3344450,пригородный
id0942168,междугородний
id1420883,городской
id2322833,аэропорт
id2598152,междугородний
id3843376,аэропорт
id3919537,пригородный
id0694896,аэропорт
id0339782,городской
id3868995,пригородный
id1281242,городской
id1752056,пригородный
id1825138,пригородный
id0892918,пригородный
id1751531,аэропорт
id1976951,междугородний
id2310781,аэропорт
id3254826,городской
id2647294,пригородный
id1816253,пригородный
id0386156,междугородний
id0201518,пригородный
id1530616,пригородный
id0793922,междугородний
id2877386,городской
id3002974,пригородный
id3642999,аэропорт
id2786770,пригородный
id1706510,междугородний
id0792587,аэропорт
id0255772,аэропорт
id2250771,междугородний
id2871619,аэропорт
id0697998,междугородний
id3976762,аэропорт
id3397873,городской
id2436090,пригородный
id3868825,междугородний
id0702559,междугородний
id2460968,междугородний
id2009306,аэропорт
id2079723,междугородний
id3361039,аэропорт
id3729972,аэропорт
id1205062,аэропорт
id0611497,аэропорт
id3183432,городской
id1496447,междугородний
id3078451,пригородный
id0316407,городской
id1552395,пригородный
id1485127,пригородный
id2580998,междугородний
id1211023,аэропорт
id1913882,междугородний
id0466712,городской
id3821337,аэропорт
id2693832,городской
id2362619,городской
id3318824,аэропорт
id0110533,пригородный
id1381855,пригородный
id2776330,городской
id0234403,пригородный
id1540027,аэропорт
id1785662,пригородный
id0101287,междугородний
id3880317,пригородный
id1938393,аэропорт
id3341769,аэропорт
id3962666,аэропорт
id3393703,пригородный
id1162954,городской
id2816250,пригородный
id2757742,аэропорт
id1549124,городской
id2693688,пригородный
id0472897,городской
id2709617,междугородний
id3151442,аэропорт
id1278800,аэропорт
id2819926,аэропорт
id3514774,междугородний
id1825634,пригородный
id1531952,городской
id3963657,междугородний
id2619980,междугородний
id2752611,аэропорт
id0249412,междугородний
id3886914,пригородный
id3227396,междугородний
id2336040,пригородный
id0567216,междугородний
id2731950,междугородний
id1467894,пригородный
id0127085,аэропорт
id3736370,пригородный
id0178365,городской
id3634345,пригородный
id0314090,пригородный
id3580641,городской
id3759780,междугородний
id1310359,междугородний
id1469058,пригородный
id0230788,аэропорт
id1257386,междугородний
id1806751,аэропорт
id3650525,междугородний
id1758618,городской
id3865469,пригородный
id1003167,пригородный
id3960363,пригородный
id0906080,междугородний
id2707644,междугородний
id3810954,аэропорт
id2647950,междугородний
id1398772,пригородный
id1765109,пригородный
id3302613,городской
id1269045,междугородний
id3680922,пригородный
id3027418,городской
id1383327,городской
id2649491,аэропорт
id3785609,междугородний
id1716965,городской
id1740763,пригородный
id2666636,городской
id2072861,междугородний
id1961170,городской
id2231520,пригородный
id1196098,пригородный
id3475241,городской
id0860567,междугородний
id3168043,аэропорт
id3385889,аэропорт
id0423766,городской
id3581513,аэропорт
id0587063,городской
id0138140,городской
id3740626,аэропорт
id3462240,пригородный
id2474786,пригородный
id1775783,пригородный
id3199935,аэропорт
id0479243,пригородный
id1736342,аэропорт
id1059926,междугородний
id1443055,городской
id3080653,пригородный
id0621905,пригородный
id0153235,пригородный
id3943598,междугородний
id1562263,городской
id0836245,городской
id3490814,городской
id1416924,городской
id0361408,городской
id0087117,городской
id3984025,городской
id3578970,городской
id3316552,аэропорт
id3740098,городской
id3041961,городской
id2604336,городской
id3403806,пригородный
id3337536,пригородный
id1948943,междугородний
id2517003,городской
id2845438,городской
id3348861,аэропорт
id2861803,пригородный
id2940332,аэропорт
id0776685,междугородний
id2765994,аэропорт
id2019078,аэропорт
id0236210,аэропорт
id0540750,аэропорт
id2742295,междугородний
id0283600,пригородный
id1993138,городской
id1846824,пригородный
id0148459,аэропорт
id3053917,аэропорт
id1975904,городской
id3813885,городской
id1470500,городской
id3046944,пригородный
id0992739,пригородный
id3946646,аэропорт
id3539642,городской
id1763669,городской
id3184246,междугородний
id1962484,городской
id3072331,аэропорт
id1878847,междугородний
id0813291,городской
id2161810,городской
id3880487,пригородный
id3463855,пригородный
id0051464,аэропорт
id3070817,аэропорт
id3437813,городской
id0915147,городской
id3619581,городской
id0604195,междугородний
id1885124,пригородный
id1068815,пригородный
id2458824,пригородный
id1738020,аэропорт
id0391683,пригородный
id2936618,пригородный
id0567212,пригородный
id2082168,пригородный
id1720644,пригородный
id1392139,городской
id3489659,городской
id3544655,городской
id2220954,городской
id0988556,пригородный
id2448705,междугородний
id3653276,междугородний
id1647645,городской
id3578379,междугородний
id2440232,междугородний
id3024524,городской
id1585692,междугородний
id1264799,междугородний
id1274596,междугородний
id2949928,междугородний
id2857978,аэропорт
id3196192,пригородный
id3666949,междугородний
id1908772,городской
id3458072,междугородний
id0972920,междугородний
id1641443,аэропорт
id2056288,пригородный
id2763623,городской
id0150660,пригородный
id3906777,аэропорт
id1354701,городской
id3872244,городской
id3008041,аэропорт
id1329246,междугородний
id3332496,междугородний
id1016330,аэропорт
id3937910,городской
id3651111,междугородний
id3230270,междугородний
id1367435,междугородний
id2505894,пригородный
id0128109,городской
id0670000,городской
id1656777,городской
id2980003,аэропорт
id2950715,междугородний
id3185548,междугородний
id1571234,пригородный
id1088783,пригородный
id1408288,пригородный
id2189234,городской
id0637242,городской
id3288715,городской
id2306003,городской
id3133410,пригородный
id3321064,городской
id3351396,междугородний
id1332229,городской
id2387801,городской
id3251117,пригородный
id3933642,междугородний
id0530359,городской
id0163735,междугородний
id1344899,городской
id2913017,городской
id1797892,пригородный
id2962184,междугородний
id3969374,междугородний
id1924559,городской
id1676655,междугородний
id0297980,аэропорт
id2721429,аэропорт
id3568016,городской
id3543391,пригородный
id2648171,аэропорт
id1054496,пригородный
id0108541,пригородный
id3554514,городской
id0780510,аэропорт
id2897974,городской
id1721510,междугородний
id2420351,аэропорт
id0961760,городской
id3610266,междугородний
id2010586,аэропорт
id2658074,междугородний
id3832669,городской
id3122303,городской
id1460955,аэропорт
id1105288,междугородний
id3154293,пригородный
id2648739,пригородный
id1254938,междугородний
id2404674,междугородний
id0297272,аэропорт
id2365937,аэропорт
id0271011,городской
id0038321,аэропорт
id1443768,городской
id0492651,аэропорт
id2999419,аэропорт
id2422539,аэропорт
id0781392,пригородный
id0560101,пригородный
id0707783,междугородний
id2997182,междугородний
id1006852,аэропорт
id0328681,аэропорт
id3254986,аэропорт
id2381126,междугородний
id1803904,междугородний
id2871545,пригородный
id0359025,городской
id3502872,городской
id3629513,аэропорт
id2297684,городской
id1159023,аэропорт
id0447231,пригородный
id2741470,пригородный
id0282294,пригородный
id0145340,аэропорт
id3439195,междугородний
id2206729,пригородный
id2473620,пригородный
id3692526,междугородний
id1785108,пригородный
id0454781,аэропорт
id1719527,городской
id1710607,городской
id1896397,городской
id1167164,аэропорт
id3889693,городской
id0343744,междугородний
id2725449,городской
id1110428,пригородный
id1291386,пригородный
id3965097,пригородный
id0640715,пригородный
id2415620,аэропорт
id2687979,аэропорт
id1898167,междугородний
id0290238,городской
id3381390,аэропорт
id2477985,городской
id0276412,городской
id1797798,пригородный
id0400807,пригородный
id2635262,пригородный
id3361264,пригородный
id1267788,аэропорт
id2597079,пригородный
id0835640,междугородний
id0645655,междугородний
id2440667,междугородний
id1788570,междугородний
id3538706,городской
id3986867,пригородный
id1880110,пригородный
id3317297,аэропорт
id2439852,междугородний
id2759450,междугородний
id3610693,аэропорт
id2238760,аэропорт
id2925659,городской
id1814893,междугородний
id3882265,аэропорт
id2502893,междугородний
id0358371,городской
id2249176,аэропорт
id1079423,пригородный
id1786510,городской
id0787104,пригородный
id3862008,междугородний
id2472287,аэропорт
id1966128,междугородний
id2535567,городской
id3616199,городской
id2996001,междугородний
id3364719,аэропорт
id1526695,городской
id0399047,пригородный
id1242777,городской
id3774707,междугородний
id0926636,городской
id3159296,городской
id2984974,городской
id0484662,городской
id3154424,городской
id1874966,городской
id3040062,пригородный
id1483874,аэропорт
id2816749,городской
id3056475,городской
id2874150,аэропорт
id0934511,междугородний
id3105570,аэропорт
id3873672,пригородный
id1075152,междугородний
id2670271,городской
id2167890,пригородный
id2081470,пригородный
id1878417,пригородный
id1999364,пригородный
id1292215,пригородный
id1782791,пригородный
id2442818,городской
id1594563,пригородный
id1277887,аэропорт
id0994476,пригородный
id1328834,городской
id1264748,аэропорт
id1455969,пригородный
id1945736,городской
id2396276,пригородный
id1858106,пригородный
id2848040,междугородний
id3261144,пригородный
id0963445,пригородный
id1165611,городской
id1354388,междугородний
id0753371,междугородний
id3278999,междугородний
id2597013,пригородный
id1952356,междугородний
id3108134,пригородный
id3914608,городской
id1921372,аэропорт
id3496274,аэропорт
id3175394,пригородный
id3803689,аэропорт
id1636306,пригородный
id1217289,пригородный
id1449634,городской
id1691134,аэропорт
id3713474,пригородный
id1580155,междугородний
id0644239,пригородный
id1736414,пригородный
id1627626,пригородный
id1892920,аэропорт
id1338892,городской
id2065237,пригородный
id0703455,городской
id1217542,междугородний
id3303172,пригородный
id3162146,аэропорт
id3768834,городской
id1526097,городской
id2243670,аэропорт
id1898837,аэропорт
id0793103,пригородный
id2257564,аэропорт
id0806562,междугородний
id0181864,аэропорт
id3505267,аэропорт
id2808611,пригородный
id0380010,аэропорт
id1861204,городской
id3628458,городской
id1918477,городской
id0214614,аэропорт
id3728970,пригородный
id3195856,аэропорт
id2613617,междугородний
id0308401,междугородний
id0115324,аэропорт
id3490650,аэропорт
id1312027,городской
id3580305,аэропорт
id3975510,пригородный
id2063529,междугородний
id0278038,пригородный
id2662608,аэропорт
id3462181,междугородний
id2979014,междугородний
id1603166,аэропорт
id2639400,пригородный
id3386639,пригородный
id0424638,городской
id0487072,аэропорт
id1001164,городской
id1332272,аэропорт
id3431846,аэропорт
id1900925,междугородний
id3937236,городской
id2459477,междугородний
id0474116,городской
id1447373,пригородный
id1850839,пригородный
id1551014,междугородний
id3543731,городской
id1764524,междугородний
id0738474,пригородный
id3006514,городской
id2142578,пригородный
id2506273,междугородний
id2018416,аэропорт
id0394779,городской
id3459714,аэропорт
id3949720,аэропорт
id3438717,пригородный
id3481317,междугородний
id1654979,городской
id2824420,пригородный
id0349001,междугородний
id0821845,междугородний
id2365526,городской
id0379304,пригородный
id2296639,аэропорт
id0381209,аэропорт
id0859064,междугородний
id0490317,городской
id2689183,междугородний
id2010398,аэропорт
id1000222,междугородний
id0669336,междугородний
id3067201,междугородний
id0979005,аэропорт
id2447704,городской
id1405501,пригородный
id0244585,аэропорт
id2918242,пригородный
id1740638,аэропорт
id2706457,городской
id0301284,аэропорт
id2108350,междугородний
id3322091,междугородний
id3410720,пригородный
id3488886,пригородный
id0541546,междугородний
id0889025,аэропорт
id2679820,пригородный
id2592814,пригородный
id2843776,городской
id1400356,аэропорт
id0058905,междугородний
id0343991,междугородний
id0269339,городской
id2788691,городской
id0440360,аэропорт
id0072699,аэропорт
id1745450,пригородный
id3660945,пригородный
id0887914,пригородный
id3239394,аэропорт
id2298448,городской
id3218853,пригородный
id3811256,междугородний
id2710780,междугородний
id1383533,городской
id1388506,городской
id0334524,городской
id1012081,пригородный
id2040611,пригородный
id3285217,междугородний
id1310850,городской
id0839643,аэропорт
id1777205,пригородный
id2277278,междугородний
id3523806,городской
id3695167,пригородный
id2245713,междугородний
id0675622,пригородный
id0913307,городской
id1195057,городской
id1112086,аэропорт
id2690246,городской
id0934289,аэропорт
id2050976,городской
id0127851,пригородный
id0664818,аэропорт
id1699786,аэропорт
id3452828,пригородный
id2528849,междугородний
id0263524,пригородный
id3595998,пригородный
id2420885,аэропорт
id0349230,городской
id1080847,междугородний
id1040130,пригородный
id0464271,аэропорт
id0684842,аэропорт
id3782616,пригородный
id0888527,аэропорт
id1371604,междугородний
id2020697,междугородний
id3164436,пригородный
id0753523,городской
id0103077,пригородный
id3557821,пригородный
id2961570,аэропорт
id0650916,пригородный
id2039209,городской
id1300903,городской
id3424320,междугородний
id0568524,аэропорт
id3246087,городской
id3312847,городской
id3406169,пригородный
id3921247,аэропорт
id3140997,пригородный
id0893282,аэропорт
id2115088,аэропорт
id3718981,пригородный
id1698501,городской
id3422590,аэропорт
id0026937,пригородный
id3807093,пригородный
id0934727,аэропорт
id1497090,пригородный
id1018135,аэропорт
id1837585,пригородный
id1644101,аэропорт
id0257860,пригородный
id2813218,аэропорт
id3562959,аэропорт
id1585973,аэропорт
id2212904,пригородный
id0623421,аэропорт
id1271792,междугородний
id0498007,аэропорт
id2107327,аэропорт
id3092326,аэропорт
id1154818,междугородний
id2052348,городской
id1194566,междугородний
id1802060,междугородний
id3545911,аэропорт
id3408811,аэропорт
id1082880,междугородний
id1548232,аэропорт
id2711316,пригородный
id2936929,городской
id0381297,междугородний
id3563938,городской
id3488591,городской
id0418722,междугородний
id0718546,городской
id3137662,пригородный
id3516094,аэропорт
id3149865,пригородный
id1214667,пригородный
id2955685,аэропорт
id0418115,пригородный
id1366008,пригородный
id0066564,аэропорт
id0957886,пригородный
id2661000,пригородный
id0086566,аэропорт
id0788419,городской
id1704486,городской
id2868789,аэропорт
id1381442,аэропорт
id0947154,аэропорт
id2834420,междугородний
id1348598,городской
id3303547,аэропорт
id2624354,междугородний
id1740479,аэропорт
id3419368,аэропорт
id0387834,городской
id1451172,междугородний
id0042930,междугородний
id2786884,пригородный
id2521672,аэропорт
id2094146,пригородный
id2474031,аэропорт
id3734173,междугородний
id3886941,городской
id1683343,аэропорт
id0134654,междугородний
id3571436,пригородный
id1684595,междугородний
id3655147,междугородний
id3247717,междугородний
id3157789,пригородный
id2021315,пригородный
id1345044,пригородный
id2040655,городской
id2344774,междугородний
id0337851,междугородний
id3642150,городской
id0973506,пригородный
id0755328,аэропорт
id3930739,аэропорт
id2778055,аэропорт
id1251414,пригородный
id3448738,аэропорт
id0686640,междугородний
id3156749,междугородний
id2261682,пригородный
id2278012,пригородный
id0785190,междугородний
id0857752,городской
id0523279,аэропорт
id3917491,пригородный
id1352980,междугородний
id0327712,пригородный
id2102087,городской
id3186937,пригородный
id3367450,междугородний
id3271919,пригородный
id1466883,городской
id0665142,пригородный
id3804591,междугородний
id2937201,городской
id0719071,аэропорт
id2062500,городской
id3692939,аэропорт
id1038991,аэропорт
id1858346,городской
id1529994,городской
id1828329,аэропорт
id1124285,междугородний
id3033817,аэропорт
id1426432,аэропорт
id2984222,пригородный
id1888288,междугородний
id2450218,городской
id1727366,пригородный
id3482031,пригородный
id0504322,аэропорт
id2488209,пригородный
id1804750,междугородний
id1892305,пригородный
id3657584,городской
id2037853,пригородный
id0811118,междугородний
id1485827,городской
id3346789,аэропорт
id0180384,пригородный
id3349631,междугородний
id2828855,городской
id1500177,городской
id0508890,аэропорт
id3237009,междугородний
id1269540,городской
id2388400,городской
id2215684,городской
id3658130,междугородний
id1268975,пригородный
id3045387,аэропорт
id3631157,городской
id1719097,пригородный
id1106847,пригородный
id2623241,аэропорт
id3057846,пригородный
id2807166,аэропорт
id2500253,пригородный
id2075641,аэропорт
id2519020,междугородний
id3843667,пригородный
id3149185,городской
id1911514,аэропорт
id3309940,пригородный
id1551595,аэропорт
id0763975,междугородний
id1342503,аэропорт
id0890879,аэропорт
id3588299,пригородный
id3202926,пригородный
id1213787,городской
id1830352,городской
id0124917,аэропорт
id3593401,аэропорт
id3193159,междугородний
id3770925,междугородний
id2421181,городской
id2939654,пригородный
id0222014,междугородний
id2488443,аэропорт
id3323327,аэропорт
id1376232,пригородный
id2315127,аэропорт
id2916185,междугородний
id1678303,аэропорт
id1127816,междугородний
id0079802,междугородний
id2872008,городской
id2805103,аэропорт
id2333480,аэропорт
id2097214,городской
id3955971,городской
id0937600,городской
id0483409,городской
id0794078,городской
id1476855,городской
id3566797,пригородный
id1803099,междугородний
id1271460,аэропорт
id3861312,городской
id1253855,междугородний
id2022302,пригородный
id0573855,городской
id0939553,аэропорт
id0111327,междугородний
id2455422,аэропорт
id3237438,пригородный
id0823727,пригородный
id2648417,городской
id2937536,городской
id1998825,пригородный
id1821121,аэропорт
id0496632,пригородный
id3517621,междугородний
id2706991,аэропорт
id3677468,городской
id1186157,аэропорт
id2700270,междугородний
id1013970,городской
id2524051,городской
id3830629,аэропорт
id1077444,аэропорт
id0921946,междугородний
id0870178,пригородный
id2558666,городской
id2074426,городской
id2104425,аэропорт
id0002125,пригородный
id3584339,пригородный
id0866387,междугородний
id2093206,пригородный
id2458871,пригородный
id3433683,городской
id1062240,междугородний
id0156004,междугородний
id3879327,междугородний
id1942208,городской
id2546428,междугородний
id2349896,городской
id0696776,городской
id2734164,городской
id3114347,городской
id0415959,пригородный
id1457222,аэропорт
id3050869,междугородний
id3747950,городской
id1064302,городской
id2427864,городской
id0902754,городской
id3890061,городской
id3226107,аэропорт
id1410576,пригородный
id0055538,городской
id3734558,пригородный
id2275690,пригородный
id1879999,междугородний
id0908051,междугородний
id2412460,междугородний
id0273519,городской
id0834013,городской
id1804429,городской
id3690861,пригородный
id1423219,городской
id1776059,городской
id1030944,междугородний
id0763220,городской
id1635682,междугородний
id1922364,пригородный
id0348425,аэропорт
id0890420,междугородний
id0364376,пригородный
id2517319,пригородный
id2554551,городской
id1124165,междугородний
id2875882,пригородный
id3037887,городской
id1647483,междугородний
id0162922,городской
id2080545,междугородний
id1355740,городской
id2885464,аэропорт
id0728634,пригородный
id1982698,городской
id0974301,аэропорт
id0421576,междугородний
id1498740,междугородний
id2874587,междугородний
id0312586,пригородный
id3578619,пригородный
id0051414,междугородний
id2888171,пригородный
id3151982,городской
id0272660,междугородний
id3101164,междугородний
id0821561,аэропорт
id2446154,междугородний
id3635352,пригородный
id0870604,городской
id0117964,пригородный
id0495865,аэропорт
id1984552,пригородный
id2641962,междугородний
id1104341,пригородный
id1191160,пригородный
id1762577,аэропорт
id1657654,пригородный
id1055937,аэропорт
id3642721,пригородный
id2646951,междугородний
id1562892,междугородний
id1113243,аэропорт
id2250111,аэропорт
id2335512,междугородний
id1622097,междугородний
id1126899,междугородний
id2231018,междугородний
id0795345,аэропорт
id3644437,пригородный
id0719443,междугородний
id3070161,пригородный
id2433611,междугородний
id0953673,междугородний
id2102207,междугородний
id3427484,городской
id2627094,аэропорт
id2590654,аэропорт
id2192767,пригородный
id3574216,городской
id0480285,междугородний
id3268133,городской
id3672309,городской
id3440424,городской
id1578709,междугородний
id0997452,пригородный
id2082893,пригородный
id1435303,междугородний
id1788445,аэропорт
id1908609,аэропорт
id1112505,городской
id2833907,пригородный
id0469561,междугородний
id1906441,междугородний
id0005754,пригородный
id3981403,городской
id2644442,пригородный
id0449280,аэропорт
id2577161,городской
id0549246,городской
id1461969,городской
id2280443,пригородный
id1099095,пригородный
id2166905,городской
id2992927,городской
id2315210,аэропорт
id1671719,городской
id2615012,пригородный
id3646066,междугородний
id1614027,аэропорт
id1732805,междугородний
id2896482,городской
id3351133,междугородний
id0414276,междугородний
id0557949,пригородный
id2898522,городской
id1488092,городской
id2807503,городской
id0422994,аэропорт
id0335871,междугородний
id1768163,городской
id0459137,городской
id0507837,городской
id0164009,городской
id3041243,аэропорт
id3887430,пригородный
id2563635,городской
id3493288,городской
id1403742,аэропорт
id1014760,городской
id0832628,междугородний
id3182382,междугородний
id2273845,междугородний
id0160779,междугородний
id1173644,городской
id0820097,городской
id3994660,пригородный
id3836451,городской
id1469252,аэропорт
id0343569,городской
id1601187,аэропорт
id0768924,пригородный
id2255740,городской
id2318771,городской
id3397492,пригородный
id2500744,пригородный
id3107148,аэропорт
id0672502,аэропорт
id3745256,междугородний
id0616605,пригородный
id3044415,пригородный
id3939601,аэропорт
id3864045,междугородний
id2957959,аэропорт
id0851634,пригородный
id0310251,аэропорт
id0461511,междугородний
id1290938,междугородний
id3930418,городской
id0313198,междугородний
id0996130,городской
id3603233,городской
id3447760,пригородный
id0049767,пригородный
id1616971,пригородный
id1101996,аэропорт
id1986904,пригородный
id1021288,городской
id0489609,пригородный
id0989974,пригородный
id3244345,пригородный
id0332006,аэропорт
id3499356,городской
id2234248,аэропорт
id3453392,пригородный
id2294540,городской
id2064003,городской
id1651588,междугородний
id1651154,междугородний
id0245296,пригородный
id0582440,аэропорт
id1374511,междугородний
id0912042,аэропорт
id0663375,пригородный
id1409106,городской
id0914655,пригородный
id2314234,аэропорт
id1188683,городской
id2638020,городской
id2223890,аэропорт
id0220857,междугородний
id0273179,междугородний
id3552195,пригородный
id3740657,аэропорт
id2606807,междугородний
id3490057,пригородный
id3989341,городской
id3367872,аэропорт
id1644920,городской
id2595369,городской
id2050595,междугородний
id2641824,аэропорт
id1325905,городской
id2385377,междугородний
id2576733,городской
id1144190,городской
id0053393,междугородний
id1060139,городской
id0817742,городской
id2839987,междугородний
id3839455,аэропорт
id2103992,пригородный
id2882915,аэропорт
id0738876,городской
id0856478,аэропорт
id2458415,междугородний
id1441895,пригородный
id0049311,аэропорт
id3336277,междугородний
id2940334,городской
id3494344,междугородний
id2997164,аэропорт
id1969772,пригородный
id0449900,пригородный
id0342681,междугородний
id0930336,аэропорт
id2095873,междугородний
id3695426,междугородний
id3972957,междугородний
id0702832,городской
id3599179,аэропорт
id2726760,междугородний
id3258403,городской
id1429000,городской
id1204883,пригородный
id1150389,аэропорт
id2709131,междугородний
id1700451,аэропорт
id2546745,городской
id2423229,пригородный
id3799936,городской
id3351232,междугородний
id0082991,аэропорт
id1783257,междугородний
id3770790,аэропорт
id2817975,городской
id3600883,междугородний
id1137694,междугородний
id2656973,пригородный
id2222411,городской
id0490441,городской
id2961434,междугородний
id1647002,междугородний
id0653003,междугородний
id0235884,пригородный
id3577129,аэропорт
id3459581,междугородний
id1402649,городской
id1830777,городской
id2571051,аэропорт
id0419837,междугородний
id0661689,междугородний
id0179273,пригородный
id2071088,междугородний
id3441752,аэропорт
id3836718,пригородный
id2389032,пригородный
id3447731,пригородный
id2333550,городской
id1980695,пригородный
id2303090,междугородний
id3844222,пригородный
id1853713,городской
id3496811,аэропорт
id1264385,междугородний
id3594308,пригородный
id2133725,междугородний
id2406444,междугородний
id0789811,междугородний
id2229734,аэропорт
id1607276,пригородный
id2053532,пригородный
id1444511,пригородный
id1501690,междугородний
id3923422,пригородный
id0392569,аэропорт
id2433568,городской
id0786274,пригородный
id2876011,междугородний
id0006886,междугородний
id0932140,пригородный
id3747988,аэропорт
id2389528,пригородный
id2920003,междугородний
